station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown,Typology
674,UNION SATION STATION,Streetcar,Dallas Area Rapid Transit (DART),Dallas Streetcar,Simple At-Grade Platform Station,2016.0,360.0,32.77599,-96.80837,"351 S Houston St, Dallas, TX 75207, USA",Dallas,TX,Dallas County,75207,12.0,1.0,7.67,3,6,27912.35,4652.06,18.0,4.0,11.33,3,20,39523.99,1976.2,72.0,1.0,11.12,26,110,199408.53,1812.8,False,False,False,Other
675,UNION STATION,Light Rail,Dallas Area Rapid Transit (DART),"Blue Line, Red Line",Exclusive Platform Station,1997.0,26000.0,32.775987,-96.808031,"Eddie Bernice Johnson Union Station, 400 S Houston St, Dallas, TX 75202, USA",Dallas,TX,Dallas County,75202,12.0,1.0,6.75,4,8,34057.36,4257.17,23.0,12.0,17.67,3,19,47670.48,2508.97,72.0,1.0,12.44,27,115,200008.46,1739.2,False,False,False,Other
676,UNIVERSITY OF DALLAS STATION ,Light Rail,Dallas Area Rapid Transit (DART),Orange Line,Simple At-Grade Platform Station,2011.0,13800.0,32.849167,-96.914515,"2900 Tom Braniff Dr, Irving, TX 75039, USA",Irving,TX,Dallas County,75039,0.0,0.0,0.0,0,1,194.4,194.4,0.0,0.0,0.0,0,4,3602.11,900.53,0.0,0.0,0.0,0,81,53869.44,665.05,False,False,False,Other
677,UNT STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,2016.0,728.0,32.65413,-96.8009,"UNT Dallas, 7894 University Hills Blvd, Dallas, TX 75241, USA",Dallas,TX,Dallas County,75241,0.0,0.0,0.0,0,1,131.01,131.01,0.0,0.0,0.0,0,2,945.07,472.54,0.0,0.0,0.0,0,29,19923.62,687.02,False,False,False,Other
678,VA MEDICAL CENTER STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,1997.0,6740.0,32.693912,-96.792504,"4510 S Lancaster Rd, Dallas, TX 75216, USA",Dallas,TX,Dallas County,75216,0.0,0.0,0.0,0,1,604.92,604.92,0.0,0.0,0.0,0,85,75878.3,892.69,0.0,0.0,0.0,0,859,185920.23,216.44,False,False,False,Other
679,VICTORY STATION,Light Rail,Dallas Area Rapid Transit (DART),"Green Line, Orange Line, Red Line",Simple At-Grade Platform Station,2001.0,196.0,32.789903,-96.812363,"555 S 2nd Ave, Dallas, TX 75226, USA",Dallas,TX,Dallas County,75226,15.0,6.0,10.5,2,24,20931.82,872.16,39.0,1.0,11.86,7,38,130398.19,3431.53,27.0,1.0,12.04,23,207,457399.01,2209.66,False,True,False,Donut
680,WALNUT HILL STATION,Light Rail,Dallas Area Rapid Transit (DART),"Orange Line, Red Line",Elevated Fixed Guideway Station,2002.0,200.0,32.883106,-96.764771,"Walnut Hill Station, Dallas, TX 75231, USA",Dallas,TX,Dallas County,75231,0.0,0.0,0.0,0,15,20753.59,1383.57,18.0,4.0,8.8,5,46,112411.21,2443.72,10.0,1.0,4.6,5,348,307037.96,882.29,False,True,False,Other
681,WALNUT HILL/DENTON STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Elevated Fixed Guideway Station,2010.0,1216.0,32.881923,-96.883875,"Walnut Hill/Denton Station, Dallas, TX 75229, USA",Dallas,TX,Dallas County,75229,0.0,0.0,0.0,0,9,7251.17,805.69,0.0,0.0,0.0,0,49,113847.09,2323.41,0.0,0.0,0.0,0,373,434951.35,1166.09,False,False,False,Other
682,WEST END STATION,Light Rail,Dallas Area Rapid Transit (DART),"Blue Line,  Green Line, Orange Line, Red Line",Simple At-Grade Platform Station,1997.0,28258.0,32.780838,-96.805569,"West End Station, Dallas, TX 75202, USA",Dallas,TX,Dallas County,75202,72.0,1.0,14.14,7,25,25711.68,1028.47,56.0,1.0,11.92,13,61,88567.06,1451.92,63.0,1.0,16.43,42,139,368124.79,2648.38,True,False,False,Other
683,WESTMORELAND STATION,Light Rail,Dallas Area Rapid Transit (DART),Red Line,Simple At-Grade Platform Station,1996.0,1460.0,32.71994,-96.871605,"3078 W Illinois Ave, Dallas, TX 75211, USA",Dallas,TX,Dallas County,75211,0.0,0.0,0.0,0,40,19470.56,486.76,0.0,0.0,0.0,0,128,59585.33,465.51,0.0,0.0,0.0,0,734,319190.21,434.86,False,False,False,Other
684,WHITE ROCK RAIL STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,2001.0,21660.0,32.85584,-96.73215,"4971 W Lawther Dr, Dallas, TX 75238, USA",Dallas,TX,Dallas County,75238,0.0,0.0,0.0,0,12,12296.27,1024.69,9.0,1.0,3.57,7,119,50993.28,428.51,1.0,1.0,1.0,1,556,153872.48,276.75,False,True,False,Other
685,ZOO STATION,Light Rail,Dallas Area Rapid Transit (DART),Red Line,Simple At-Grade Platform Station,1997.0,9600.0,32.741005,-96.812844,"Zoo Station, Dallas, TX 75203, USA",Dallas,TX,Dallas County,75203,0.0,0.0,0.0,0,13,6621.01,509.31,0.0,0.0,0.0,0,95,30921.0,325.48,0.0,0.0,0.0,0,638,171343.44,268.56,False,False,False,Other
686,DOWNTOWN DENTON TRANSIT CENTER STATION,Hybrid Rail,Denton County Transit Authority (DCTA),A Train,At-Grade Fixed Guideway Station,2011.0,10587.0,33.21361,-97.12617,"Downtown Denton Transit Center, Denton, TX 76205, USA",Denton,TX,Denton County,76205,1.0,1.0,1.0,1,12,24929.93,2077.49,1.0,1.0,1.0,4,94,60359.88,642.13,5.0,1.0,2.03,36,675,201334.64,298.27,False,False,False,Other
